'CAR_REG_NUM';'ORDER_ID';'CLIENT_PASS';'RENTED_AT';'RETURNED_AT';'REVENUE'
'VZOB05VTF8';4688;'9690628228';'14.11.23 20:59:01';'20.11.23 23:07:01';13106,4551111111111111111111111111111111
'PEFRVAJXQN';4689;'7170394449';'15.11.23 01:10:14';'19.11.23 03:52:06';3337,547603703703703703703703703703703698
'VZOB05VTF8';4689;'7170394449';'15.11.23 01:10:14';'19.11.23 03:52:06';8852,039192592592592592592592592592592577
'HALLI015C6';4690;'3898796181';'15.11.23 01:46:51';'21.11.23 01:50:21';15657,2800798611111111111111111111111111
'8JFLQWM6CW';4691;'3885537011';'15.11.23 02:32:37';'22.11.23 00:59:29';13728,8207708333333333333333333333333333
'LXJWCP63S6';4691;'3885537011';'15.11.23 02:32:37';'22.11.23 00:59:29';17359,7403365740740740740740740740740741
'CEN248R1KF';4692;'6220290192';'15.11.23 04:37:13';'18.11.23 19:47:22';8582,240304166666666666666666666666666664
'STGNFB5OAQ';4692;'6220290192';'15.11.23 04:37:13';'19.11.23 19:47:22';12565,311946875
'C7SJN6DPK2';4693;'3826269565';'15.11.23 09:10:34';'16.11.23 14:55:11';2165,805829398148148148148148148148148149
'LXJWCP63S6';4693;'3826269565';'15.11.23 09:10:34';'16.11.23 14:55:11';3102,122314004629629629629629629629629631
'OULOT8IY4N';4694;'7791719572';'15.11.23 13:08:37';'19.11.23 23:27:41';6184,815226851851851851851851851851851855
'COLWNVEA2G';4695;'5628434739';'15.11.23 13:35:27';'17.11.23 18:07:18';4886,76832222222222222222222222222222224
'EMLH8ZDCIA';4696;'8199243700';'15.11.23 15:44:35';'23.11.23 00:51:40';20123,4154803240740740740740740740740741
'IUVENCG0Z4';4697;'5101582109';'15.11.23 18:50:20';'22.11.23 16:35:12';16757,3075180555555555555555555555555556
'RI5LJDOAQ1';4698;'6154329440';'15.11.23 22:19:09';'17.11.23 13:39:33';4339,054475000000000000000000000000000009
'DQZ85AULFX';4699;'1368514808';'16.11.23 03:52:03';'23.11.23 06:47:37';19644,6803884259259259259259259259259259
'BOZ56GTDLR';4700;'2101861846';'16.11.23 05:05:36';'23.11.23 07:30:37';14528,9676056712962962962962962962962963
'JTPWNEX6NA';4700;'2101861846';'16.11.23 05:05:36';'23.11.23 07:30:37';7309,182747222222222222222222222222222213
'3L70R0T3Y0';4701;'4254543917';'16.11.23 06:50:57';'21.11.23 05:55:09';8293,6224
'IXZ2GTP78X';4702;'2356860821';'16.11.23 07:17:20';'19.11.23 03:26:29';2811,290625
'5GWT9JZDLW';4703;'5067475694';'16.11.23 10:05:32';'23.11.23 08:21:02';17433,1560902777777777777777777777777778
'KAT4M0R932';4704;'4908697342';'16.11.23 15:33:02';'24.11.23 05:52:42';10348,7727268518518518518518518518518518
'DWRCTHKUWK';4705;'7846818259';'16.11.23 16:24:58';'22.11.23 08:06:00';15068,9961650462962962962962962962962963
'8NF6TD5TM7';4706;'6440288173';'16.11.23 20:22:32';'23.11.23 11:40:24';14725,4865777777777777777777777777777778
'KU53ZQBSHV';4706;'6440288173';'16.11.23 20:22:32';'23.11.23 11:40:24';15990,3773074074074074074074074074074074
'R3NO6XE7BO';4707;'3008101075';'16.11.23 23:23:19';'21.11.23 16:39:45';12046,5836884259259259259259259259259259
'BKZWU27BUN';4708;'7675919362';'17.11.23 00:16:20';'22.11.23 18:55:31';15051,0202689814814814814814814814814815
'CEN248R1KF';4709;'5671279028';'17.11.23 02:35:52';'23.11.23 15:08:43';15412,8841125
'L8OO5K9M6A';4710;'9307198526';'17.11.23 07:59:21';'19.11.23 06:26:18';4107,577223611111111111111111111111111123
'AX5HNZZBCY';4711;'5067734724';'17.11.23 10:07:43';'22.11.23 23:00:17';12918,8245377314814814814814814814814815
'V5SW80UEXC';4712;'5244690319';'17.11.23 13:55:20';'24.11.23 08:43:38';18326,5518375
'D3B88KL4Z9';4713;'5193647156';'17.11.23 14:57:36';'19.11.23 21:41:00';3980,575266666666666666666666666666666669
'1CKXD99MZO';4714;'8843163468';'17.11.23 23:10:52';'22.11.23 09:08:13';7411,742986458333333333333333333333333335
'290J01JF3W';4714;'8843163468';'17.11.23 23:10:52';'22.11.23 09:08:13';6865,982148263888888888888888888888888891
'2A9957I3CK';4714;'8843163468';'17.11.23 23:10:52';'22.11.23 09:08:13';8785,372069097222222222222222222222222224
'ZD81Y0APUY';4714;'8843163468';'17.11.23 23:10:52';'22.11.23 09:08:13';11078,7860815972222222222222222222222222
'FUWMKFQZJZ';4715;'2777081145';'18.11.23 01:21:24';'25.11.23 16:20:01';20213,3868123842592592592592592592592593
'IMQC9WDZFA';4715;'2777081145';'18.11.23 01:21:24';'24.11.23 16:20:01';16196,3723788194444444444444444444444444
'OULOT8IY4N';4716;'8475575954';'18.11.23 03:56:26';'19.11.23 07:30:52';1604,053540509259259259259259259259259263
'9ZBNZ3N6CK';4717;'3898796181';'18.11.23 08:18:44';'23.11.23 06:07:56';7564,927650000000000000000000000000000005
'XOHQKBLE1O';4718;'5401346885';'18.11.23 11:44:44';'22.11.23 03:34:19';9580,578226273148148148148148148148148147
'ZPM0TH6DPB';4719;'5943253499';'18.11.23 14:36:15';'21.11.23 19:28:49';7393,816239814814814814814814814814814823
'4YYFVI2R9B';4720;'9643290090';'18.11.23 20:14:27';'22.11.23 21:49:50';4043,7114650462962962962962962962962963
'RI5LJDOAQ1';4721;'1115322853';'18.11.23 23:56:59';'21.11.23 03:51:57';5726,152370138888888888888888888888888899
'9640XOEI93';4722;'3085836878';'19.11.23 02:45:38';'25.11.23 18:47:40';13584,1432543981481481481481481481481482
'WTAAPUTANR';4723;'9854001674';'19.11.23 03:21:37';'21.11.23 20:59:04';5045,29530694444444444444444444444444443
'54X1XLB8VT';4724;'3100402716';'19.11.23 04:22:50';'23.11.23 12:03:51';7194,00095393518518518518518518518518518
'XTWKDWIOYS';4724;'3100402716';'19.11.23 04:22:50';'23.11.23 12:03:51';8257,924408449074074074074074074074074068
'FUWMKFQZJZ';4725;'1827969981';'19.11.23 08:49:43';'20.11.23 20:51:24';3980,004285532407407407407407407407407403
'9E0XO1CD3C';4726;'2015120198';'19.11.23 15:06:08';'23.11.23 10:41:25';3062,742739467592592592592592592592592599
'41M9WECI3N';4727;'9633258077';'19.11.23 20:06:55';'22.11.23 01:49:07';2593,759118055555555555555555555555555557
'YUW6U6UH1F';4728;'2148375822';'19.11.23 20:38:26';'25.11.23 14:33:47';5799,35378645833333333333333333333333333
'XTWKDWIOYS';4729;'4941134487';'19.11.23 22:50:39';'21.11.23 00:27:58';2040,670441087962962962962962962962962966
'35WZ07A6HB';4730;'7901136300';'20.11.23 00:26:27';'25.11.23 17:15:40';4574,757012847222222222222222222222222224
'GQE85X2HNR';4731;'8041187895';'20.11.23 03:11:58';'25.11.23 20:32:24';5078,796519212962962962962962962962962965
'JNBRPW7X8F';4732;'2593304943';'20.11.23 04:40:45';'23.11.23 19:46:27';7512,088908333333333333333333333333333326
'5E0YUYHO11';4733;'7248563181';'20.11.23 07:26:40';'27.11.23 16:22:35';16249,0611695601851851851851851851851852
'3E7XGWQ3KA';4734;'1581153844';'20.11.23 11:08:14';'25.11.23 09:34:26';6363,5527513888888888888888888888888889
'COLWNVEA2G';4734;'1581153844';'20.11.23 11:08:14';'26.11.23 09:34:26';13250,4083111111111111111111111111111111
'5HT6B4682R';4735;'2319736127';'20.11.23 14:02:52';'27.11.23 03:09:46';12784,44755
'3E7XGWQ3KA';4736;'6501324945';'20.11.23 22:35:40';'27.11.23 01:42:52';7904,6963
'IXZ2GTP78X';4737;'6722121469';'21.11.23 03:44:39';'27.11.23 12:22:33';6296,056249999999999999999999999999999992
'8KSHYKI335';4738;'5217740412';'21.11.23 04:13:49';'22.11.23 09:44:57';2323,345647685185185185185185185185185178
'2A9957I3CK';4739;'1115322853';'21.11.23 04:38:25';'22.11.23 17:54:56';3090,695188310185185185185185185185185197
'GMN3JSMBYN';4739;'1115322853';'21.11.23 04:38:25';'22.11.23 17:54:56';2840,01894525462962962962962962962962964
'RI5LJDOAQ1';4740;'5244690319';'21.11.23 09:58:23';'25.11.23 09:13:18';10505,5646232638888888888888888888888889
'GHXXGVSL7E';4741;'2051154297';'21.11.23 10:10:42';'28.11.23 03:48:23';10617,0775893518518518518518518518518518
'3QCBS5XF9V';4742;'1152069998';'21.11.23 20:58:31';'25.11.23 17:15:22';11522,5693534722222222222222222222222222
'C0MSW5UPS9';4743;'7431416574';'21.11.23 23:16:31';'27.11.23 07:50:07';12441,7689666666666666666666666666666667
'8NF6TD5TM7';4744;'1738598583';'22.11.23 05:21:52';'29.11.23 04:34:54';15457,5600222222222222222222222222222222
'6GVM51DP35';4745;'7170394449';'22.11.23 08:17:37';'26.11.23 18:13:54';12048,1584949074074074074074074074074074
'9M0BGVZT23';4746;'7116507341';'22.11.23 10:44:36';'26.11.23 03:24:52';5633,977668518518518518518518518518518534
'J53C6QU2O1';4747;'5217740412';'22.11.23 14:16:37';'25.11.23 01:10:41';4663,912688425925925925925925925925925939
'GCGMKJZO1V';4748;'6475640971';'22.11.23 18:09:41';'29.11.23 08:26:55';15954,3627048611111111111111111111111111
'3L70R0T3Y0';4749;'3008101075';'22.11.23 20:49:17';'26.11.23 22:17:19';6788,91691851851851851851851851851851852
'ZIPMCFV6HT';4750;'9633258077';'23.11.23 00:56:11';'24.11.23 02:05:58';2045,871747337962962962962962962962962967
'4XEV64RI8V';4751;'5193647156';'23.11.23 01:46:21';'25.11.23 10:52:09';4518,67778055555555555555555555555555556
'DWRCTHKUWK';4752;'9643290090';'23.11.23 05:49:41';'28.11.23 16:27:52';14508,4229181712962962962962962962962963
'CONZKRWM9F';4753;'1102731227';'23.11.23 06:31:10';'27.11.23 02:12:18';8070,353611574074074074074074074074074071
'2PZWA43HRW';4754;'4941134487';'23.11.23 09:10:40';'24.11.23 12:51:56';1549,465727314814814814814814814814814818
'9ZBNZ3N6CK';4755;'8177238241';'23.11.23 11:39:46';'26.11.23 16:56:49';4962,223131249999999999999999999999999998
'TU7NA1K2VC';4756;'7901136300';'23.11.23 14:13:27';'27.11.23 04:27:35';9059,440357407407407407407407407407407387
'Y2QR98GL7P';4757;'7423278445';'23.11.23 18:22:45';'27.11.23 03:34:56';7725,388028703703703703703703703703703685
'1CKXD99MZO';4758;'5101582109';'23.11.23 20:13:38';'01.12.23 09:05:53';12652,1408802083333333333333333333333333
'AQ0PQ2DBUO';4759;'2732293253';'23.11.23 20:59:07';'29.11.23 17:59:47';15911,2824953703703703703703703703703704
'BKZWU27BUN';4760;'6220290192';'23.11.23 22:38:45';'27.11.23 00:05:59';7973,542062037037037037037037037037037053
'QZAA1V0520';4761;'7675919362';'23.11.23 23:17:20';'27.11.23 02:21:01';7066,685732523148148148148148148148148147
'W7VN003WB9';4762;'8571109137';'24.11.23 05:23:03';'29.11.23 22:21:56';7733,51261203703703703703703703703703705
'9E0XO1CD3C';4763;'1827969981';'24.11.23 09:05:00';'27.11.23 08:14:28';2379,545737962962962962962962962962962957
'54X1XLB8VT';4764;'6154329440';'24.11.23 11:59:09';'29.11.23 13:24:37';8424,933890740740740740740740740740740738
